VARNAMES: CID CIDint SURVEY TYPE FIELD CUTFLAG_SNANA zHEL zHELERR zCMB zCMBERR zHD zHDERR VPEC VPECERR HOST_LOGMASS HOST_LOGMASS_ERR SNRMAX1 SNRMAX2 SNRMAX3 PKMJD PKMJDERR x1 x1ERR c cERR mB mBERR x0 x0ERR COV_x1_c COV_x1_x0 COV_c_x0 NDOF FITCHI2 FITPROB RA DECL TGAPMAX TrestMIN TrestMAX MWEBV m0obs_i m0obs_r em0obs_i em0obs_r MU MUMODEL MUERR MUERR_RAW MURES MUPULL M0DIF ERRCODE biasCor_mu biasCorErr_mu biasCor_mB biasCor_x1 biasCor_c biasScale_muCOV IDSAMPLE 
SN: 1259412 1259412 10 1 X3 1 0.30580 0.00100 0.30470 0.00100 0.30470 0.00100 0 0 10.5140 5.50000e-03 79.6751 66.4161 43.4388 56624.441 0.198 0.8493 0.1479 -3.97447e-02 2.71899e-02 21.3882 2.91479e-02 4.99698e-05 1.34150e-06 -1.14339e-04 -3.57132e-08 -2.80209e-08 22 13.7837 0.9329 36.345383 -5.324100 7.6821 -1.32372e+01 44.9108 2.16100e-02 21.4505 21.3988 2.35840e-02 1.97940e-02  41.0225 40.9944  0.1069  0.0845  0.0065  0.061  0.0216 0 -0.003  0.003 -0.004  0.036  0.001  0.550 1 
SN: 1261579 1261579 10 1 X3 1 0.32330 0.00100 0.32220 0.00100 0.32220 0.00100 0 0 11.1630 7.20000e-02 64.2287 61.3533 49.3508 56638.523 0.109 -1.66532e-01 0.1177 -5.63534e-03 2.34028e-02 21.6014 2.89606e-02 4.10621e-05 1.09528e-06 3.45061e-04 -3.66878e-08 -2.13593e-08 32 24.0368 0.8726 36.119595 -4.967311 7.5008 -8.66088e+00 44.2490 2.51660e-02 21.6017 21.5894 1.75270e-02 2.03370e-02  41.0071 41.1348  0.1029  0.0665 -0.1493 -1.451  0.0216 0 -0.046  0.005 -0.004 -0.041  0.010  0.587 1 
SN: 1262214 1262214 10 1 C2+C3 1 0.69000 0.01000 0.68940 0.01000 0.68940 0.01000 0 0 8.8640 5.75000e-02 39.9103 29.6905 6.6311 56657.156 0.366 0.1646 0.2601 -1.11424e-01 3.97777e-02 23.4612 3.19224e-02 7.40485e-06 2.17714e-07 2.08561e-04 -2.13134e-08 6.00007e-10 56 67.6832 0.1573 53.502693 -28.660202 5.2861 -1.30432e+01 24.1979 6.55500e-03 23.1643 23.1981 3.35190e-02 3.84340e-02  43.1538 43.1064  0.1301  0.1647  0.0786  0.604 -0.0312 0  0.079  0.011 -0.032 -0.217 -0.040  0.415 1 
SN: 1262715 1262715 10 1 C3 1 0.69000 0.01000 0.68940 0.01000 0.68940 0.01000 0 0 11.0520 0.3255 45.9860 30.6701 14.1499 56660.152 0.379 0.8929 0.3160 -5.14321e-02 3.10535e-02 23.2850 2.94874e-02 8.70983e-06 2.36549e-07 2.68346e-03 -3.73521e-08 -3.41579e-09 35 35.7033 0.4826 53.369957 -28.442709 4.1097 -1.47652e+01 21.8565 6.26300e-03 22.9691 23.0481 2.62000e-02 4.05770e-02  42.9793 43.1064  0.1110  0.1179 -0.0959 -0.864 -0.0312 0 -0.015  0.010 -0.006  0.121  0.007  0.448 1 
SN: 1263369 1263369 10 1 S1 1 0.31340 0.00100 0.31250 0.00100 0.31250 0.00100 0 0 10.8450 8.50000e-02 33.1452 28.8485 13.8053 56665.746 0.274 0.1645 0.2709 -8.88856e-02 3.08264e-02 21.4345 3.82661e-02 4.78867e-05 1.68773e-06 1.81095e-03 -2.06354e-07 -3.72955e-08 28 18.3507 0.9170 43.229519 -0.541823 6.8346 -1.26491e+01 23.8289 5.65730e-02 21.6163 21.5485 3.09700e-02 2.87310e-02  41.0847 41.0579  0.1048  0.0949  0.0052  0.049  0.0216 0  0.057  0.003 -0.017 -0.037 -0.022  0.485 1 
SN: 1263715 1263715 10 1 S2 1 0.29280 0.00100 0.29190 0.00100 0.29190 0.00100 0 0 8.9770 0.1060 35.5885 32.1749 27.8298 56667.168 0.223 0.4141 0.2801 -5.97723e-02 3.16807e-02 21.2895 3.87838e-02 5.47273e-05 1.95492e-06 2.26539e-03 -2.87356e-07 -4.83486e-08 19 14.9468 0.7794 41.609894 -1.579935 6.1488 -1.39625e+01 20.7822 3.24640e-02 21.4128 21.3521 2.94370e-02 2.68290e-02  40.9008 40.8870  0.1082  0.0939  0.0304  0.281 -0.0166 0  0.012  0.003 -0.008 -0.011 -0.006  0.522 1 
SN: 1275946 1275946 10 1 E2 1 0.23300 0.00500 0.23210 0.00500 0.23210 0.00500 0 0 8.4580 0.4345 72.9557 72.0549 56.4366 57261.676 0.147 1.6698 0.1719 -5.87640e-02 2.65796e-02 20.5806 3.23006e-02 1.05136e-04 3.12778e-06 4.79872e-04 -2.00111e-07 -6.79654e-08 38 39.9272 0.4287 10.403968 -43.637779 6.5579 -1.07905e+01 43.3838 8.33600e-03 20.8520 20.6498 2.60590e-02 1.89170e-02  40.3318 40.3193  0.1052  0.0930  0.0184  0.175 -0.0060 0  0.053  0.020  0.003  0.262 -0.003  0.497 1 
SN: 1279500 1279500 10 1 X3 1 0.23600 0.00500 0.23500 0.00500 0.23500 0.00500 0 0 9.6990 6.95000e-02 86.3892 76.7498 67.5551 57252.020 0.320 0.6875 0.1668 -2.69418e-02 2.51377e-02 20.8675 2.92638e-02 8.07203e-05 2.17565e-06 -1.39339e-04 -1.82002e-08 -4.61035e-08 22 20.6731 0.5410 36.925739 -4.314926 6.5041 -2.20596e+00 43.1141 2.20170e-02 21.0779 20.9469 2.22040e-02 1.60700e-02  40.4305 40.3498  0.1094  0.0901  0.0867  0.792 -0.0060 0 -0.017  0.004 -0.003  0.002  0.004  0.550 1 
SN: 1280217 1280217 10 1 S2 1 0.36000 0.00500 0.35900 0.00500 0.35900 0.00500 0 0 8.9200 0.1485 23.8547 15.8911 15.3613 57250.750 1.574 1.9604 0.6078 8.74084e-02 3.45989e-02 22.0261 4.34234e-02 2.77688e-05 1.11060e-06 1.55844e-03 -1.48614e-07 -2.49725e-08 45 61.7762 4.89508e-02 40.894306 -1.518371 8.1026 -1.73771e+00 44.5226 2.58800e-02 21.8839 21.9305 2.76370e-02 3.13850e-02  41.2967 41.4085  0.1496  0.1410 -0.1258 -0.841  0.0140 0  0.052  0.021  0.041  0.833  0.031  0.668 1 
SN: 1281668 1281668 10 1 E2 1 0.30800 0.00500 0.30710 0.00500 0.30710 0.00500 0 0 10.2510 1.85000e-02 34.7138 34.1770 28.9968 57271.148 0.309 0.1315 0.2761 -1.11848e-01 3.14146e-02 21.3688 3.59248e-02 5.08734e-05 1.68330e-06 1.98819e-03 -2.20507e-07 -4.02693e-08 40 23.7108 0.9859 9.410530 -43.920338 7.5288 -1.44752e+01 44.2529 6.97700e-03 21.4985 21.3790 2.91190e-02 2.52760e-02  41.0581 41.0141  0.1057  0.1031  0.0223  0.211  0.0216 0  0.095  0.004 -0.022 -0.040 -0.034  0.461 1 
