zHD,MU
0.246,40.22940554201692
0.247,40.23862632074221
0.248,40.247811089643434
0.249,40.25696013592345
0.25,40.266073743338815
0.251,40.27515219225471
0.252,40.28419575969889
0.253,40.29320471941453
0.254,40.30217934191204
0.255,40.311119894519805
0.256,40.32002664143403
0.257,40.32889984376756
0.258,40.337739759597696
0.259,40.34654664401323
0.26,40.35532074916044
0.261,40.36406232428823
0.262,40.37277161579246
0.263,40.38144886725942
0.264,40.39009431950843
0.265,40.398708210633636
0.266,40.4072907760451
0.267,40.41584224850905
0.268,40.424362858187365
0.269,40.43285283267638
0.27,40.44131239704496
0.271,40.44974177387181
0.272,40.45814118328216
0.273,40.466510842983794
0.274,40.47485096830233
0.275,40.483161772215965
0.276,40.49144346538949
0.277,40.49969625620778
0.278,40.507920350808604
0.279,40.51611595311492
0.28,40.5242832648665
0.281,40.5324224856511
0.28200000000000003,40.54053381293497
0.28300000000000003,40.54861744209293
0.28400000000000003,40.55667356643781
0.28500000000000003,40.56470237724944
0.28600000000000003,40.57270406380312
0.28700000000000003,40.580678813397604
0.28800000000000003,40.58862681138255
0.289,40.59654824118553
0.29,40.60444328433861
0.291,40.61231212050438
0.292,40.62015492750163
0.293,40.62797188133051
0.294,40.63576315619734
0.295,40.64352892453895
0.296,40.65126935704655
0.297,40.658984622689374
0.298,40.66667488873773
0.299,40.67434032078579
0.3,40.68198108277393
0.301,40.68959733701076
0.302,40.697189244194746
0.303,40.70475696343547
0.304,40.71230065227459
0.305,40.71982046670636
0.306,40.72731656119795
0.307,40.7347890887093
0.308,40.74223820071275
0.309,40.74966404721228
0.31,40.7570667767625
0.311,40.764446536487306
0.312,40.771803472098206
0.313,40.77913772791241
0.314,40.78644944687062
0.315,40.79373877055447
0.316,40.8010058392038
0.317,40.80825079173357
0.318,40.81547376575054
0.319,40.82267489756967
0.32,40.82985432223033
0.321,40.83701217351214
0.322,40.844148583950684
0.323,40.851263684852896
0.324,40.85835760631223
0.325,40.865430477223654
0.326,40.872482425298315
0.327,40.879513577078015
0.328,40.88652405794957
0.329,40.89351399215875
0.33,40.900483502824194
0.331,40.907432711950996
0.332,40.914361740444164
0.333,40.921270708121796
0.334,40.928159733728165
0.335,40.93502893494649
0.336,40.941878428411584
0.337,40.94870832972235
0.338,40.955518753453994
0.339,40.96230981317012
0.34,40.96908162143466
0.341,40.97583428982358
0.342,40.98256792893645
0.343,40.989282648407844
0.34400000000000003,40.99597855691855
0.34500000000000003,41.002655762206636
0.34600000000000003,41.00931437107836
0.34700000000000003,41.01595448941892
0.34800000000000003,41.02257622220301
0.34900000000000003,41.029179673505304
0.35000000000000003,41.035764946510724
0.35100000000000003,41.04233214352459
0.352,41.04888136598259
0.353,41.05541271446068
0.354,41.061926288684774
0.355,41.06842218754034
0.356,41.07490050908182
0.357,41.081361350541975
0.358,41.08780480834105
0.359,41.094230978095815
0.36,41.100639954628534
0.361,41.107031831975746
0.362,41.11340670339694
0.363,41.11976466138313
0.364,41.12610579766529
0.365,41.13243020322271
0.366,41.138737968291196
0.367,41.14502918237116
0.368,41.15130393423565
0.369,41.15756231193819
0.37,41.16380440282059
0.371,41.170030293520625
0.372,41.17624006997958
0.373,41.182433817449734
0.374,41.18861162050173
0.375,41.19477356303185
0.376,41.20091972826917
0.377,41.20705019878266
0.378,41.21316505648816
0.379,41.21926438265527
0.38,41.22534825791414
0.381,41.23141676226224
0.382,41.23746997507091
0.383,41.24350797509193
0.384,41.24953084046399
0.385,41.25553864871904
0.386,41.26153147678856
0.387,41.267509401009804
0.388,41.27347249713192
0.389,41.27942084032195
0.39,41.28535450517085
