zHD,MU
0.129,38.909531231442074
0.13,38.92769649213387
0.131,38.945731311891606
0.132,38.96363764860015
0.133,38.98141741588706
0.134,38.999072484448746
0.135,39.01660468332671
0.136,39.03401580113734
0.137,39.05130758725612
0.138,39.068481752959194
0.139,39.08553997252341
0.14,39.10248388428707
0.14100000000000001,39.11931509167283
0.14200000000000002,39.13603516417478
0.14300000000000002,39.152645638310545
0.14400000000000002,39.16914801853994
0.145,39.18554377815289
0.146,39.20183436012561
0.147,39.21802117794843
0.148,39.23410561642489
0.149,39.25008903244476
0.15,39.26597275573048
0.151,39.28175808955878
0.152,39.297446311459254
0.153,39.31303867388928
0.154,39.32853640488703
0.155,39.343940708703954
0.156,39.35925276641599
0.157,39.37447373651631
0.158,39.38960475548812
0.159,39.40464693836036
0.16,39.419601379245435
0.161,39.43446915186035
0.162,39.44925131003182
0.163,39.46394888818543
0.164,39.478562901820425
0.165,39.49309434796976
0.166,39.50754420564608
0.167,39.521913436274716
0.168,39.53620298411315
0.169,39.55041377665904
0.17,39.56454672504494
0.171,39.57860272442247
0.17200000000000001,39.59258265433485
0.17300000000000001,39.606487379078615
0.17400000000000002,39.62031774805507
0.17500000000000002,39.63407459611148
0.176,39.647758743872785
0.177,39.661370998063695
0.178,39.67491215182177
0.179,39.68838298500184
0.18,39.70178426447191
0.181,39.71511674440063
0.182,39.72838116653712
0.183,39.7415782604833
0.184,39.75470874395822
0.185,39.76777332305566
0.186,39.780772692494644
0.187,39.79370753586353
0.188,39.8065785258569
0.189,39.81938632450701
0.19,39.83213158340855
0.191,39.844814943937685
0.192,39.85743703746524
0.193,39.86999848556493
0.194,39.88249990021522
0.195,39.894941883996964
0.196,39.90732503028525
0.197,39.919649923436964
0.198,39.93191713897299
0.199,39.94412724375661
0.2,39.956280796166446
0.201,39.96837834626602
0.202,39.980420435968604
0.203,39.99240759919794
0.20400000000000001,40.00434036204537
0.20500000000000002,40.016219242922894
0.20600000000000002,40.02804475271245
0.20700000000000002,40.039817394911736
0.20800000000000002,40.05153766577644
0.209,40.06320605445906
0.21,40.07482304314438
0.211,40.086389107181944
0.212,40.09790471521501
0.213,40.10937032930673
0.214,40.12078640506345
0.215,40.13215339175488
0.216,40.14347173243175
0.217,40.154741864040425
0.218,40.16596421753524
0.219,40.17713921798805
0.22,40.18826728469524
0.221,40.199348831282556
0.222,40.210384265807235
0.223,40.221373990858254
0.224,40.232318403653764
0.225,40.243217896137125
0.226,40.25407285506995
0.227,40.26488366212379
0.228,40.275650693969496
0.229,40.28637432236462
0.23,40.2970549142389
0.231,40.30769283177813
0.232,40.3182884325059
0.233,40.328842069363795
0.234,40.3393540907897
0.23500000000000001,40.34982484079461
0.23600000000000002,40.36025465903775
0.23700000000000002,40.3706438809001
0.23800000000000002,40.38099283755618
0.23900000000000002,40.39130185604493
0.24,40.401571259338084
0.241,40.41180136640846
0.242,40.42199249229543
0.243,40.43214494817018
0.244,40.442259041399
0.245,40.452335075605376
0.246,40.4623733507311
0.247,40.472374163095814
0.248,40.48233780545534
0.249,40.4922645670592
0.25,40.502154733706774
0.251,40.51200858780191
0.252,40.52182640840738
0.253,40.531608471297396
0.254,40.54135504900948
0.255,40.551066410895345
0.256,40.560742823170735
0.257,40.570384548964
0.258,40.57999184836421
0.259,40.58956497846811
0.26,40.59910419342605
0.261,40.60860974448731
0.262,40.61808188004413
0.263,40.62752084567558
0.264,40.63692688418981
0.265,40.6463002356661
0.266,40.6556411374959
0.267,40.66494982442297
0.268,40.67422652858305
0.269,40.68347147954255
0.27,40.692684904336616
0.271,40.70186702750658
0.272,40.711018071136614
0.273,40.72013825488962
0.274,40.729227796042636
0.275,40.73828690952165
0.276,40.747315807935536
0.277,40.756314701609504
0.278,40.76528379861806
0.279,40.77422330481715
0.28,40.783133423875995
0.281,40.79201435730802
0.28200000000000003,40.800866304501554
0.28300000000000003,40.80968946274989
0.28400000000000003,40.81848402728064
0.28500000000000003,40.8272501912848
0.28600000000000003,40.83598814594529
0.28700000000000003,40.84469808046481
0.28800000000000003,40.853380182093375
0.289,40.86203463615535
0.29,40.870661626076
0.291,40.87926133340755
0.292,40.88783393785481
0.293,40.89637961730044
0.294,40.90489854782969
0.295,40.91339090375476
0.296,40.92185685763873
0.297,40.93029658031918
0.298,40.93871024093119
0.299,40.94709800693022
0.3,40.95546004411441
0.301,40.96379651664666
0.302,40.9721075870762
0.303,40.980393416359924
0.304,40.98865416388328
0.305,40.996889987480856
0.306,41.005101043456705
0.307,41.013287486604206
0.308,41.02144947022563
0.309,41.02958714615153
0.31,41.03770066475951
0.311,41.04579017499323
0.312,41.05385582438036
0.313,41.06189775905094
0.314,41.06991612375508
0.315,41.07791106188045
0.316,41.08588271546949
0.317,41.09383122523637
0.318,41.10175673058373
0.319,41.10965936961899
0.32,41.117539279170586
0.321,41.125396594803966
0.322,41.133231450837066
0.323,41.141043980355875
0.324,41.14883431522957
0.325,41.15660258612546
0.326,41.16434892252378
0.327,41.17207345273208
0.328,41.17977630389956
0.329,41.18745760203112
0.33,41.195117472001236
0.331,41.20275603756751
0.332,41.21037342138422
0.333,41.21796974501541
0.334,41.22554512894805
0.335,41.233099692604775
0.336,41.240633554356606
0.337,41.24814683153531
0.338,41.25563964044581
0.339,41.26311209637811
0.34,41.27056431361937
0.341,41.277996405465515
0.342,41.285408484232896
0.343,41.292800661269595
0.34400000000000003,41.30017304696676
0.34500000000000003,41.30752575076959
0.34600000000000003,41.314858881188286
0.34700000000000003,41.3221725458088
0.34800000000000003,41.3294668513034
0.34900000000000003,41.336741903441194
